vnf_type_max,sfc_vnf_num,multiple_sfc_num,per_sfc_vnf_num,expected_tasks_per_type,seed,HEFT,DHEFT,NHEFT,time_sec
8,80,4,20,10,1292,3051.6694000000007,303.20759999999996,52.69353433333333,2.3920857906341553
8,80,4,20,10,5439,2645.294600000001,275.75249999999994,47.28273533333333,1.7606921195983887
8,80,4,20,10,1714,2410.6281000000013,239.6095,44.695833333333326,1.9043900966644287
8,80,4,20,10,9200,2929.616400000001,297.2565000000001,50.271433333333334,1.7350242137908936
8,80,4,20,10,5804,3149.492599999999,311.69090000000006,70.3217485,1.7602558135986328
8,80,4,20,10,3154,2662.9087999999997,274.5923,55.41014789915967,1.6925230026245117
8,80,4,20,10,2195,3084.2169999999974,303.62250000000006,53.40910988888888,1.6051051616668701
8,80,4,20,10,3042,2559.427199999999,261.1531000000001,43.19353433333333,1.845348834991455
8,80,4,20,10,9808,2886.7232000000004,283.01429999999993,53.74919999999999,1.5712692737579346
8,80,4,20,10,5407,2810.0033999999982,277.3556000000001,53.8381,1.5751447677612305
8,80,4,20,10,3782,3122.5852999999993,324.8888999999999,67.589046,2.22167706489563
8,80,4,20,10,5410,2499.7123999999994,236.12409999999997,45.286166666666674,1.7977068424224854
8,80,4,20,10,8428,3032.2993999999967,304.26139999999987,53.35243333333334,1.732529878616333
8,80,4,20,10,7236,3149.8755999999994,319.88349999999997,50.480533333333334,1.7219278812408447
8,80,4,20,10,2085,2393.0720000000006,232.2958999999999,41.71085766666667,1.7990050315856934
8,80,4,20,10,2139,2479.976999999998,240.10340000000005,42.82423333333333,1.85396409034729
8,80,4,20,10,6801,2169.564999999999,224.20820000000003,46.19896766666667,1.4381392002105713
8,80,4,20,10,6820,3415.2988,347.38360000000006,53.0771,1.7490360736846924
8,80,4,20,10,3830,2976.036899999997,303.03700000000003,54.94226666666667,1.6619062423706055
8,80,4,20,10,7975,3107.0548000000003,316.06179999999995,51.39526766666666,1.5315749645233154
8,80,4,20,10,3469,3375.6656000000016,338.3649,52.56493633333333,1.5596020221710205
8,80,4,20,10,1454,2591.6394999999993,256.5802,50.129103999999984,1.7194640636444092
8,80,4,20,10,2573,2168.4834999999985,221.49200000000002,40.786966666666665,1.7528128623962402
8,80,4,20,10,3931,3000.2723,308.59260000000006,50.50716666666666,1.6651511192321777
8,80,4,20,10,5445,2725.3447,270.8652,55.874500999999995,1.3833887577056885
8,80,4,20,10,5745,2659.7565999999983,276.8784,53.04646666666667,2.2153749465942383
8,80,4,20,10,7167,2997.7011000000007,297.33849999999984,51.65933333333332,2.4084410667419434
8,80,4,20,10,7597,3169.9209999999985,311.46680000000003,55.097699999999996,1.704953908920288
8,80,4,20,10,7005,2557.652999999998,250.75189999999998,55.1366,1.8931267261505127
8,80,4,20,10,3239,3020.0991999999987,295.6959,54.30333433333334,1.988185167312622
