vnf_type_min,vnf_type_max,seed,HEFT,DHEFT,NHEFT,time_sec
1,10,4366,1938.5904000000014,44.67960000000002,13.842817279069765,7.0529539585113525
1,10,5455,2293.5848999999953,50.560700000000004,13.460200999999998,6.71570897102356
1,10,9095,2002.2310999999927,50.117000000000054,15.523301,6.247037172317505
1,10,8562,2224.1542999999983,56.01959999999999,14.393001000000003,6.013597011566162
1,10,9815,1509.4786000000004,39.74189999999998,11.974501000000002,5.717514276504517
1,10,1466,2044.1667999999986,50.393899999999995,14.650762048689138,5.798659086227417
1,10,8480,2046.6176000000023,48.436099999999975,16.093321672131147,6.173628807067871
1,10,3792,2307.7940000000053,55.35420000000003,15.288701,5.770416021347046
1,10,4697,1846.9601999999995,46.94269999999999,14.097502,6.108912229537964
1,10,1565,1916.5328999999967,47.19000000000001,14.520501999999999,5.616418123245239
1,10,5891,2179.814199999997,55.94920000000001,20.545185769980502,5.2828450202941895
1,10,8308,2068.562099999997,53.469300000000004,14.954556120527302,6.0420379638671875
1,10,4257,1873.4822999999933,47.4958,15.163101000000003,7.137613773345947
1,10,5733,1926.3386999999964,47.06919999999999,14.539402000000003,5.78312087059021
1,10,2946,2008.7006999999935,47.0628,15.015760682285745,6.198406219482422
1,10,1292,1920.429599999997,46.79329999999996,12.468417422434365,6.648120164871216
1,10,5439,1912.1628000000042,45.32399999999999,13.009501000000002,6.917870044708252
1,10,1714,1668.1443999999976,46.482800000000005,14.568201000000002,6.208738088607788
1,10,9200,1864.3910999999973,46.44680000000002,15.996800999999994,6.049571990966797
1,10,5804,1928.7517999999993,47.30009999999997,13.926900999999997,6.084122180938721
1,10,3154,1696.306300000004,43.575799999999994,15.070898709923664,5.2100841999053955
1,10,2195,1830.778699999998,46.133099999999985,15.729301000000007,5.980818033218384
1,10,3042,2106.0807000000023,49.22699999999999,12.894400999999998,6.185413837432861
1,10,9808,1957.2587999999978,45.580799999999996,11.686576811594204,5.571666955947876
1,10,5407,1992.4445999999994,49.93249999999997,15.201000999999993,5.417613983154297
1,10,3782,2190.0944000000027,52.55139999999999,14.87841199351702,6.964215040206909
1,10,5410,1647.0642000000018,43.64949999999999,15.58618089668616,5.967597246170044
1,10,8428,2019.9439999999975,48.456799999999994,12.058388850174213,5.481529951095581
1,10,7236,2112.663300000004,50.8927,13.147600999999996,6.471221923828125
1,10,2085,1581.167499999997,46.11429999999999,13.810792505216096,4.571867942810059
1,10,2139,1691.2122000000074,43.7063,12.077601000000003,6.557301044464111
1,10,6801,1897.743100000001,44.0063,15.327577923076921,6.864066123962402
1,10,6820,2143.2358000000013,55.0045,14.616313287904601,7.078364133834839
1,10,3830,2201.7535999999986,50.44430000000003,15.764511726384367,6.2002527713775635
1,10,7975,1996.2845000000013,49.88369999999998,15.372232578947369,5.273329973220825
1,10,3469,2143.085700000004,51.73650000000001,16.74379510961214,6.182032108306885
1,10,1454,1635.8981999999987,40.658899999999996,13.163989481065919,5.997251749038696
1,10,2573,1564.0752000000016,39.86139999999999,11.248945652701218,4.849287033081055
1,10,3931,1864.223699999997,46.44130000000001,12.060432435079722,5.667423248291016
1,10,5445,1930.2931999999985,50.50210000000003,15.555793882991557,5.30406928062439
1,10,5745,2001.959899999992,49.310700000000004,15.606400999999996,6.469774961471558
1,10,7167,2244.158200000004,53.35219999999998,15.783158558558563,7.196207761764526
1,10,7597,2426.9798999999903,54.48830000000002,16.2260702467344,6.353458881378174
1,10,7005,1855.9487000000051,44.95900000000002,13.396226315679572,6.5084309577941895
1,10,3239,2004.2153000000033,49.4642,15.37840564263323,5.76796817779541
1,10,4331,1877.1340999999998,45.4246,14.068100999999995,6.658344984054565
1,10,5960,2113.6145000000056,49.04250000000001,14.279402,6.0739922523498535
1,10,1284,2065.2110000000052,48.94059999999999,18.929803,7.084386825561523
1,10,2402,2201.069100000006,53.897800000000025,15.219049258160238,6.738659143447876
1,10,8146,2079.599799999991,48.16169999999997,13.221101,7.416992902755737
1,10,1786,2181.1472999999914,53.59729999999999,17.23265174936962,5.400423049926758
