effective_total_vnf_num,multiple_sfc_num,per_sfc_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7223,3635.286900000001,550.8012000000001,59.604499999999994,1.7756428718566895
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1405,3356.7496999999994,518.5903000000001,57.04070099999999,1.991065263748169
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,6792,3562.733100000001,540.2742,58.798201000000006,1.5725269317626953
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7527,3957.1959000000006,576.9003999999999,60.486003000000004,1.4928209781646729
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3965,3733.053000000001,540.9781,57.0632,1.6628952026367188
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,9686,3548.529600000001,538.3686999999999,58.52590200000001,1.4232640266418457
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2054,3291.485799999998,508.6417,57.947901,1.719738245010376
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7502,3488.5173999999997,523.9327,58.529503,1.5597970485687256
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5872,3506.2999999999984,524.9966,57.924204999999986,1.6483683586120605
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1751,3847.3702000000008,552.2636999999996,60.4021,1.3648428916931152
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5095,3445.1641,510.98740000000004,59.68525749999999,1.5770330429077148
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8465,4030.0780000000004,593.2949,61.17780199999999,1.8570780754089355
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8504,3708.052099999999,574.8256,60.0834,1.887634038925171
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8819,3513.020800000002,504.5018999999999,60.73880299999998,1.5816409587860107
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,4921,3336.7954999999984,506.2678,59.219801000000004,1.4885890483856201
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,6347,7476.6661,541.1864999999999,61.986402000000005,2.5643980503082275
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7536,6985.119999999998,521.2481999999997,61.868401000000006,3.124285936355591
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,4078,6787.291700000005,510.3284999999999,53.89720000000001,2.1198437213897705
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,4726,7641.45440000001,582.1452000000002,63.61250000000001,2.9851300716400146
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5978,7503.39370000001,559.7836999999998,61.01019999999999,2.667896032333374
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,8836,7792.141300000009,588.2292,60.722603000000014,2.728695869445801
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3380,7552.815400000002,562.5770000000001,62.3872,2.8381412029266357
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3669,7430.667300000003,556.0780000000002,62.3291,2.3771371841430664
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7882,7103.330299999999,537.9043,59.993600000000015,2.8651621341705322
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2503,6637.145699999999,489.15200000000016,60.97620100000001,2.1317129135131836
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5802,7389.951599999999,560.1879000000001,62.99850199999998,2.714468002319336
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,6455,7532.863300000006,559.3333,60.701699999999995,3.389784097671509
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5608,7896.615500000009,604.5523,60.840599999999995,2.1044301986694336
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,8258,7444.791600000002,565.2691000000002,58.68829999999999,3.053558111190796
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7486,7335.701099999996,549.9457999999998,61.63689999999998,2.6841280460357666
