multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,seed,HEFT,DHEFT,NHEFT,time_sec
2,160,320,1,12,6000,12000,200,8480,13863.593200000021,516.8880999999997,119.66120100000008,2.377157688140869
2,160,320,1,12,6000,12000,200,3792,15702.705199999991,599.1410000000012,107.32031019999994,2.7932968139648438
2,160,320,1,12,6000,12000,200,4697,13780.553199999982,521.2788999999997,102.367351,2.2103168964385986
2,160,320,1,12,6000,12000,200,1565,13940.118599999985,533.9727999999998,79.32076668999997,3.1673171520233154
2,160,320,1,12,6000,12000,200,5891,15654.735600000035,590.2903,137.304501,2.337486743927002
2,160,320,1,12,6000,12000,200,8308,14046.78060000001,530.638200000001,118.34350099999999,2.354965925216675
2,160,320,1,12,6000,12000,200,4257,14142.139100000013,529.2677,103.95670099999998,2.936135768890381
2,160,320,1,12,6000,12000,200,5733,14885.893599999969,554.4130999999999,114.79790100000002,2.242655038833618
2,160,320,1,12,6000,12000,200,2946,13882.093200000041,525.9298000000002,88.97045099999997,2.499466896057129
2,160,320,1,12,6000,12000,200,1292,14071.404300000006,529.0920999999998,76.84810000000002,3.208732843399048
2,160,320,1,12,6000,12000,200,5439,14510.094300000013,550.6078000000003,104.23012179341463,2.4678409099578857
2,160,320,1,12,6000,12000,200,1714,14066.101799999997,527.8741999999999,109.44820099999998,3.1369240283966064
2,160,320,1,12,6000,12000,200,9200,15113.951100000042,562.7705000000003,112.70200100000001,3.9717519283294678
2,160,320,1,12,6000,12000,200,5804,14257.216100000012,530.2722,114.55582363742688,2.172913074493408
2,160,320,1,12,6000,12000,200,3154,13714.85420000005,520.0247000000004,143.352302,2.1253631114959717
2,160,320,1,12,6000,12000,200,2195,14210.594500000008,531.5609000000003,121.22710762983425,1.9857966899871826
2,160,320,1,12,6000,12000,200,3042,14697.522899999996,564.7458000000001,99.13991733183025,2.508869171142578
2,160,320,1,12,6000,12000,200,9808,14482.51450000001,542.2711000000005,116.32980099999996,2.4485630989074707
2,160,320,1,12,6000,12000,200,5407,14146.703300000017,543.6315000000005,107.67617199999998,2.0395143032073975
2,160,320,1,12,6000,12000,200,3782,15231.217699999997,577.7417,109.915401,2.5203442573547363
2,160,320,1,12,6000,12000,200,5410,12150.950100000002,458.6507,105.73752699999999,2.2170441150665283
2,160,320,1,12,6000,12000,200,8428,15203.483599999994,576.1760999999997,99.89525610752689,2.2632319927215576
2,160,320,1,12,6000,12000,200,7236,15205.582199999955,571.2847000000003,107.35252821000002,2.2588491439819336
2,160,320,1,12,6000,12000,200,2085,12356.064200000006,463.4066000000001,98.12710100000001,1.9102389812469482
2,160,320,1,12,6000,12000,200,2139,13805.360500000039,527.0249999999997,90.45680148,2.8142552375793457
2,160,320,1,12,6000,12000,200,6801,13607.411999999991,512.1598999999999,102.67733781077497,2.310640811920166
2,160,320,1,12,6000,12000,200,6820,14949.745200000027,570.0628,100.90304898785425,3.2124850749969482
2,160,320,1,12,6000,12000,200,3830,15279.314199999979,567.4255000000002,109.38130100000001,2.118403196334839
2,160,320,1,12,6000,12000,200,7975,15147.655099999974,567.1973,104.06444487,3.0672829151153564
2,160,320,1,12,6000,12000,200,3469,14627.222100000015,547.133,82.47030200000005,2.0134339332580566
2,160,320,1,12,6000,12000,200,1454,12934.2554,487.8040000000002,83.74712776500002,2.2841179370880127
2,160,320,1,12,6000,12000,200,2573,13503.261399999994,503.96709999999996,82.00190515463918,1.860259771347046
2,160,320,1,12,6000,12000,200,3931,13401.723099999987,513.4476000000006,82.47067280334728,2.8935861587524414
2,160,320,1,12,6000,12000,200,5445,14452.720199999998,541.3237000000006,88.17952500000006,1.8321659564971924
2,160,320,1,12,6000,12000,200,5745,14538.002299999986,557.1318999999999,120.92936942675158,2.279233932495117
2,160,320,1,12,6000,12000,200,7167,15927.093299999988,597.0779999999996,139.19620100000006,2.89150071144104
2,160,320,1,12,6000,12000,200,7597,15960.548500000019,598.9275999999996,113.23740100000003,2.1791999340057373
2,160,320,1,12,6000,12000,200,7005,13235.831799999985,497.79889999999995,128.84420100000003,2.302557945251465
2,160,320,1,12,6000,12000,200,3239,14792.718199999954,553.7772000000002,107.998101,2.1543400287628174
2,160,320,1,12,6000,12000,200,4331,14418.64290000001,547.1576999999987,102.6443,2.3041269779205322
2,160,320,1,12,6000,12000,200,5960,14258.923099999984,544.7272,90.28172857142859,2.324251174926758
2,160,320,1,12,6000,12000,200,1284,14185.723500000002,531.6868999999998,149.56239035083533,3.0760960578918457
2,160,320,1,12,6000,12000,200,2402,15212.34960000002,575.1782999999996,117.16480100000001,2.4462530612945557
2,160,320,1,12,6000,12000,200,8146,14595.007599999968,551.5973000000004,108.64220099999997,3.2328429222106934
