repository_bw,multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,6455,2161.9380000000006,136.7899,26.00965128180318,3.602710008621216
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,5608,2199.891999999998,141.63860000000014,27.930601999999997,4.0902581214904785
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,8258,2142.5067999999974,136.49319999999997,28.414446444444444,3.8137259483337402
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,7486,2141.5597000000034,138.1321,27.23272422222223,4.0031609535217285
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,1839,2133.2993,135.74050000000003,26.64806435697399,3.4478960037231445
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,3282,2109.214200000001,133.2837,26.48064270856102,4.830774784088135
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,3216,2130.6394000000014,135.01670000000001,27.528437727879798,3.8158340454101562
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,9034,2106.6371,133.01620000000003,28.210503,2.9242258071899414
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,7143,2074.1717000000026,133.37499999999994,24.403981952380946,3.575700283050537
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,2446,2171.5330999999996,137.9449999999999,23.193657555555554,2.8422372341156006
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,5924,2117.021199999999,134.4007,27.78893057142857,2.6448888778686523
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,8881,2064.048799999999,129.94350000000009,28.21999188888889,4.070167064666748
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,6634,2054.7194,132.52040000000002,27.577947444444447,3.35554575920105
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,3097,2085.681400000004,134.17860000000005,27.372400744434643,2.8281760215759277
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,1211,2049.9768000000013,130.6970000000001,22.194290888888883,2.8257389068603516
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,1921,2116.9672999999975,135.75920000000005,25.58063533333333,2.611968994140625
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,2740,2172.8872999999976,139.98210000000012,25.052658066102378,3.6441469192504883
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,3306,2118.8672000000006,134.87520000000004,31.785614111111105,3.092533826828003
900,2,160,320,1,20,5000,7000,500,1000,1000,2000,4366,2115.4116999999974,135.32409999999993,26.321357555555558,2.854625940322876
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,6347,2172.3923999999993,137.61620000000005,25.771379777777774,2.1084628105163574
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,7536,2063.051300000001,132.50819999999993,28.381625222222215,2.759864091873169
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,4078,2106.031300000004,134.43979999999996,23.959013111111105,2.822787284851074
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,4726,2176.6677999999974,139.40190000000007,26.302257555555563,2.326803207397461
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,5978,2176.3448999999996,141.34589999999997,27.510357752212393,2.614164113998413
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,8836,2210.9399000000003,139.88440000000003,25.19784644444444,2.9256348609924316
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,3380,2190.3783999999996,140.66169999999994,23.376186113268606,2.4485859870910645
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,3669,2123.627000000004,137.68339999999998,22.57089658239278,2.2193520069122314
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,7882,2155.358600000004,136.6847,25.92651014826498,2.5858378410339355
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,2503,2103.1908000000003,134.11130000000023,31.074258555555556,2.0739998817443848
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,5802,2187.880699999996,139.67950000000008,24.800679777777784,2.2969741821289062
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,6455,2161.9325999999987,139.21259999999992,24.18849915668202,2.6152892112731934
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,5608,2199.8853999999983,140.06470000000007,31.21203633333333,2.264854907989502
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,8258,2142.496199999996,136.5623000000001,27.03505080544747,2.6816282272338867
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,7486,2141.5501000000027,136.5938,23.88756876859505,2.7683799266815186
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,1839,2133.303700000001,135.73919999999995,24.209729859569645,2.0988242626190186
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,3282,2109.2104000000013,133.0893,28.911461655066162,2.8994271755218506
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,3216,2130.642700000002,134.70319999999998,24.776396325542567,2.744119882583618
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,9034,2106.6214999999993,134.28870000000006,24.286735333333343,1.9571630954742432
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,7143,2074.170900000002,133.83380000000002,22.488513111111107,2.570117235183716
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,2446,2171.5296,138.89659999999986,23.232668666666665,2.514798164367676
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,5924,2116.998199999999,136.11420000000007,24.828172428571424,2.2018210887908936
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,8881,2064.0502999999994,131.71899999999997,25.395757555555555,2.562739849090576
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,6634,2054.7092,131.29560000000006,25.312386008237223,2.595860004425049
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,3097,2085.6763000000037,133.87029999999993,25.459872641791044,2.073065996170044
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,1211,2049.9807000000037,128.69959999999998,20.822226040128413,2.448453903198242
900,4,80,320,1,20,5000,7000,500,1000,1000,2000,1921,2116.9493999999986,136.57890000000006,22.76016866666667,2.677722930908203
