vnf_image_size_min,vnf_image_size_max,seed,HEFT,DHEFT,NHEFT,time_sec
1000,3000,1751,7894.8452,333.9851999999998,48.30642507692308,7.3903961181640625
1000,3000,5095,7886.116699999985,338.09239999999966,58.33799366666664,5.856464147567749
1000,3000,8465,8274.02520000001,348.73979999999995,59.66113985310736,5.500668048858643
1000,3000,8504,8641.402699999984,374.1191000000002,52.30970723888889,5.87602424621582
1000,3000,8819,8630.612899999995,366.9110999999999,55.60206766666668,5.476006269454956
1000,3000,4921,7526.425300000025,328.3937000000001,66.30486766666668,6.078737258911133
3000,5000,6347,15753.214600000048,688.2674000000004,90.31667609046292,4.697525978088379
3000,5000,7536,14801.69440000002,643.8115000000001,91.57209227777774,6.260356187820435
3000,5000,4078,15135.197500000042,659.5138000000001,77.83296866666666,4.826499938964844
3000,5000,4726,15671.183299999959,689.6602999999996,103.967886,5.2808380126953125
3000,5000,5978,17166.901099999995,687.1592000000004,86.80686633333329,6.8550498485565186
3000,5000,8836,15936.099899999943,708.5118000000001,78.9870905,6.796327829360962
3000,5000,3380,15920.437100000012,698.2127999999999,92.9885660556004,6.079586744308472
3000,5000,3669,14500.865400000012,672.2207000000004,83.63291422499996,4.692590713500977
3000,5000,7882,15757.375900000012,682.1408999999999,92.296105125,6.116219997406006
3000,5000,2503,15102.485000000042,657.6104000000001,111.09409771759263,4.924820899963379
3000,5000,5802,15549.23920000001,689.5615999999997,88.6025373333333,5.1380181312561035
3000,5000,6455,15105.190999999975,680.6697999999996,78.94036766666667,6.0153281688690186
3000,5000,5608,16134.974299999989,709.9425,100.38288129416665,5.768890142440796
3000,5000,8258,15785.150499999983,673.6021000000003,121.42833533333335,6.457432985305786
3000,5000,7486,15092.40320000003,677.7483000000001,90.32236354413448,6.046798229217529
3000,5000,1839,15441.546200000032,669.6802000000001,75.9079531121272,5.722329139709473
3000,5000,3282,15717.113999999987,658.5074999999998,77.10346399999996,6.302363157272339
3000,5000,3216,14867.470800000012,666.7313999999997,92.97896166666666,5.882270097732544
3000,5000,9034,14248.692699999974,651.4809999999994,84.502303,4.680193901062012
3000,5000,7143,14272.966800000017,640.9684999999998,76.2213353333333,5.518905878067017
3000,5000,2446,15381.303099999972,689.5380000000005,80.80989466666666,5.086101055145264
3000,5000,5924,15387.0564,667.7375999999997,93.47809402777777,5.578680753707886
3000,5000,8881,15256.105499999996,633.2302000000004,80.69103299074075,5.611852169036865
3000,5000,6634,14762.0069,631.6888999999998,96.54803533333335,5.993417024612427
3000,5000,3097,15154.20370000001,645.8210000000005,95.52727886944447,4.790580987930298
3000,5000,1211,13697.427599999992,619.7822999999996,74.59846766666666,6.501532077789307
3000,5000,1921,16007.095699999993,669.7241,84.82375216238539,6.259483814239502
3000,5000,2740,15663.028200000002,679.5214999999997,80.86711890555549,6.728450775146484
3000,5000,3306,15116.17809999997,665.6666000000001,82.83078652079492,5.990332841873169
3000,5000,4366,16185.588000000032,668.4044000000001,84.76823433333333,5.2278759479522705
3000,5000,5455,16925.999199999973,699.8462999999992,110.38354444444441,5.780381917953491
3000,5000,9095,15247.725899999967,648.5210000000004,80.96802536604038,4.848694086074829
3000,5000,8562,15934.956400000008,707.6655000000001,99.45422130833332,4.372266054153442
3000,5000,9815,13873.2,627.5104000000002,78.87606766666669,3.8921761512756348
3000,5000,1466,15842.281900000013,684.9034000000003,83.74386766666667,4.7058210372924805
3000,5000,8480,16589.300100000066,672.3789999999997,108.40660728930818,4.946253776550293
3000,5000,3792,15708.452800000023,703.2403000000004,80.56480099999996,4.815216064453125
3000,5000,4697,14850.559200000018,656.0048999999999,83.00649759014266,4.523544788360596
3000,5000,1565,14899.645500000006,674.6881000000004,79.61733533333334,4.783783197402954
3000,5000,5891,16263.656800000008,699.7243,120.11569190909088,5.1022210121154785
3000,5000,8308,15257.86480000001,664.8328,120.51125226578418,4.66514778137207
3000,5000,4257,15873.820000000049,680.0015000000001,89.28991784367183,5.059867858886719
3000,5000,5733,14615.081800000018,655.4155999999997,104.82953533333333,4.558078050613403
3000,5000,2946,15605.381699999987,676.5145999999996,83.181486940349,4.89875602722168
3000,5000,1292,14576.05980000003,656.8482000000002,64.7001671755725,4.89460301399231
3000,5000,5439,14859.496000000017,671.0595000000001,87.5149042543263,4.893308877944946
3000,5000,1714,13791.290099999987,631.7586000000002,83.76066766666672,4.280685186386108
3000,5000,9200,14387.692100000004,658.0802000000001,103.49827907407409,4.914765119552612
3000,5000,5804,15370.708400000027,675.6199999999999,104.25251426927741,4.792994976043701
3000,5000,3154,14472.150499999992,634.9667000000001,118.03866670588233,4.94734787940979
3000,5000,2195,14525.553899999979,653.8594999999999,98.58890979757714,4.846362113952637
3000,5000,3042,16106.86989999998,712.2594,77.63457638333334,5.770240068435669
3000,5000,9808,15556.960800000013,652.8416000000002,98.44080637620368,6.362534999847412
3000,5000,5407,15386.519100000023,650.1991999999999,88.06345374166666,4.569782972335815
3000,5000,3782,15797.554099999994,693.1371999999997,86.91344163675214,5.333910942077637
3000,5000,5410,14250.868399999992,631.9151,86.30357250555554,5.218875885009766
3000,5000,8428,15388.5011,687.7144000000002,87.18238110694443,5.0384321212768555
3000,5000,7236,15788.238699999998,691.5739000000003,79.69871911666665,5.083897829055786
3000,5000,2085,13466.147599999964,656.3324000000001,89.03430000520832,3.79836106300354
3000,5000,2139,14197.60420000002,666.3107,75.73233433333331,5.8957459926605225
3000,5000,6801,15008.071899999979,647.6060999999997,85.22115425925927,5.432924032211304
3000,5000,6820,15622.311900000004,693.4656,88.90673433333333,6.226532220840454
3000,5000,3830,16863.521700000038,712.8677999999998,89.45573733333332,4.632815837860107
3000,5000,7975,15033.874300000023,671.1658999999996,74.06096766666664,4.646067380905151
3000,5000,3469,16011.256100000006,694.5246000000001,75.75913633333332,5.0225841999053955
3000,5000,1454,14209.072800000016,636.9215000000004,74.30430883055557,5.624859094619751
3000,5000,2573,14549.993899999987,648.5857999999997,67.57362284166666,5.549420118331909
3000,5000,3931,14802.053599999992,696.7426,76.54377143611111,5.475576162338257
3000,5000,5445,15451.148100000053,659.3108,86.70200957908847,5.373060703277588
3000,5000,5745,14776.556399999998,654.0905000000001,102.27612660648148,5.066006183624268
3000,5000,7167,16347.27670000001,676.2932000000002,108.59010216000003,7.069892168045044
3000,5000,7597,16176.565099999956,692.0482999999991,87.78116866666666,5.378373861312866
3000,5000,7005,16097.758299999987,684.4629,117.30290200000002,5.307271957397461
3000,5000,3239,14690.697900000001,682.6765999999997,89.82128433333332,4.746694326400757
3000,5000,4331,15068.436899999982,670.4908999999989,80.93868516151201,5.3540260791778564
3000,5000,5960,15165.61579999999,644.6288000000004,79.892888,5.648169040679932
3000,5000,1284,15213.249399999972,665.3537000000003,129.85136866666664,5.370115041732788
3000,5000,2402,16440.58639999999,695.7267999999997,96.36680099999995,6.406654119491577
3000,5000,8146,15540.966199999988,660.8385999999994,90.43145731067962,6.337875127792358
3000,5000,1786,15744.073300000007,695.3572000000004,86.23464538730035,5.057646036148071
3000,5000,8911,15539.159900000019,676.8634999999999,80.34783433333332,6.230710029602051
3000,5000,7510,15087.697299999994,681.5302999999998,101.896086375,4.570511102676392
3000,5000,6556,16123.06640000003,681.1267000000001,104.68997468638891,5.242347955703735
3000,5000,5726,15288.40490000002,642.2130999999999,81.47220100000001,6.257986068725586
3000,5000,2935,15955.865199999978,648.2090999999999,71.95109681111113,7.33660101890564
3000,5000,7223,16254.23580000002,716.5073999999998,92.37224411111109,5.318841218948364
3000,5000,1405,15704.519499999999,666.2175,107.27534638363426,5.85440731048584
3000,5000,6792,15409.991099999996,668.5991000000007,85.88535299999998,4.603149175643921
3000,5000,7527,15727.495399999967,694.800500000001,84.81730436228186,4.5852673053741455
3000,5000,3965,14999.284599999968,674.4669,74.50734251666665,5.629863739013672
3000,5000,9686,14930.496499999988,647.9322,83.0787421777778,4.636770963668823
3000,5000,2054,15242.779799999997,657.6393999999997,107.562575537037,5.088125944137573
3000,5000,7502,15335.63920000001,656.5963000000003,85.86150933333333,6.12128210067749
3000,5000,5872,14702.371300000006,683.2643999999998,81.02686096666667,5.270831823348999
3000,5000,1751,15794.83920000001,670.1623,83.85272021111108,5.470494985580444
3000,5000,5095,15752.781500000014,671.7164000000002,93.57573433333329,5.256076097488403
3000,5000,8465,16140.697999999984,682.0734000000001,96.64911455932204,5.304170846939087
3000,5000,8504,16191.406400000023,708.0192000000003,90.31284028382838,5.3751609325408936
3000,5000,8819,16547.28840000002,700.2447999999997,94.21523433333327,6.073488235473633
3000,5000,4921,15193.085099999973,661.7268000000005,102.37206866666668,5.64163613319397
5000,7000,6347,23419.883400000035,1021.6008000000004,129.75247066666665,4.812752962112427
5000,7000,7536,22535.024500000058,977.1447000000002,131.61136264814814,5.307204961776733
5000,7000,4078,22918.526699999977,993.4386000000002,110.271702,5.050282001495361
5000,7000,4726,23254.521600000044,1022.9937999999994,145.81712885185192,5.234435081481934
5000,7000,5978,25566.902099999952,1020.4926000000003,121.6297252751524,6.516489028930664
5000,7000,8836,23519.432099999955,1041.8450999999995,116.81162483333331,6.684745788574219
5000,7000,3380,23570.43729999997,1031.5461000000005,128.71963433333335,5.895134925842285
5000,7000,3669,21800.867599999987,1005.5542000000003,115.10548499999999,4.559398174285889
5000,7000,7882,23524.04649999994,1015.4744,134.42490488888885,5.468240737915039
5000,7000,2503,22819.151300000034,990.9437000000001,154.721502,4.16601300239563
5000,7000,5802,23065.90710000001,1022.8948999999998,123.50109024722222,5.444928884506226
5000,7000,6455,22588.51609999997,1014.0027999999995,112.297201,5.5216710567474365
5000,7000,5608,23818.298400000083,1043.9119000000012,132.50409001728755,4.927045106887817
5000,7000,8258,23618.493200000088,1006.9358000000002,163.613702,4.986829996109009
5000,7000,7486,22592.403600000005,1011.0817000000001,125.24190655212547,4.872286081314087
5000,7000,1839,23191.547699999963,1003.0135,109.37053733333335,4.156699180603027
5000,7000,3282,23667.108399999932,991.8406,104.22339613333334,5.195283889770508
5000,7000,3216,22300.80310000002,1000.0646999999998,127.94768073046129,4.015823841094971
5000,7000,9034,21532.02679999999,984.8143999999994,120.46518077777779,3.0469648838043213
5000,7000,7143,21706.30229999999,974.4383999999999,110.39866766666664,3.6751530170440674
5000,7000,2446,22914.632199999967,1022.8711000000003,114.36436866666666,3.715358018875122
5000,7000,5924,23137.055899999978,1001.0708999999996,131.7102702307692,3.5299839973449707
5000,7000,8881,23306.101499999964,966.5633000000005,116.62821262037039,4.11776328086853
5000,7000,6634,22595.33189999999,965.0218999999998,143.36859991666668,3.988736867904663
5000,7000,3097,23004.208000000002,979.1545000000004,132.63430099999997,3.440295934677124
5000,7000,1211,20964.09320000005,953.1155999999996,111.66017737499998,4.1826841831207275
5000,7000,1921,24107.088799999998,1003.0571,116.72150099999999,4.312115907669067
5000,7000,2740,23329.694599999944,1012.8547999999997,114.20077346111107,4.675600051879883
5000,7000,3306,22732.851999999937,999.0003000000002,115.81526766666667,3.6580731868743896
5000,7000,4366,24368.921699999977,1001.7377000000002,118.74885755555549,4.5159690380096436
5000,7000,5455,25126.008400000068,1033.1927999999998,149.07576952136753,4.339576959609985
5000,7000,9095,23114.395499999984,981.8544000000004,114.88487683966243,3.8740530014038086
5000,7000,8562,23484.957300000024,1040.9988999999982,126.33926134166664,3.606482982635498
5000,7000,9815,21306.535800000052,960.8439000000002,116.458801,3.7327511310577393
5000,7000,1466,23475.61409999998,1018.2366000000003,117.17346766666665,4.009933948516846
5000,7000,8480,24872.632199999982,1005.7122999999997,142.46563873584904,4.110481023788452
